rank	path	bestseller	price	liked_count	published_at	suspending
3363	tk_resilie/bd5708c54a8a0a	False	0	137	2022-08-20T18:48:11.081+09:00	False
3364	tbpgr/abad892a9b844d	False	0	18	2022-08-20T02:15:27.010+09:00	False
3365	nekozuki/ef2ffb2944b58a	False	0	4	2022-08-19T18:45:00.430+09:00	False
3366	ito/4263da80116a48	False	200	28	2022-08-17T01:46:58.581+09:00	False
3367	asano369/efcad253f90fe5	False	4500	2	2022-08-16T23:34:53.714+09:00	False
3368	masaruxstudy/74bbdba78366c3	False	0	41	2022-08-16T21:26:33.243+09:00	False
3369	shintaro/74ce1bf16aca7a	False	500	9	2022-08-14T23:03:44.751+09:00	False
3370	yukitora/1a5a62d7f0d5b3	False	0	4	2022-08-09T13:27:44.038+09:00	False
3371	asano369/c9fdae11b0cf78	False	0	3	2022-08-07T19:52:38.084+09:00	False
3372	sikkim/how_to_create_api_sales_service	False	0	123	2022-08-03T10:15:17.156+09:00	False
3373	pipipi22/d35eb8d742e17f	False	0	15	2022-07-31T23:16:37.452+09:00	False
3374	miyaji26/a530e44f826710	False	500	1	2022-07-31T00:57:01.101+09:00	False
3375	cheeeez/0d266b2019e6e4	False	0	4	2022-07-26T10:15:40.058+09:00	False
3376	hello_yogurt/f367b6290fc708	False	0	3	2022-07-24T16:33:10.177+09:00	False
3377	miyaji26/0a811e9ad16d66	False	300	1	2022-07-23T05:09:05.369+09:00	False
3378	itte/5ce6aac9166aed	False	0	11	2022-07-22T17:24:46.090+09:00	False
3379	hotter6163/5524adf323b141	False	0	1	2022-07-21T22:16:34.261+09:00	False
3380	hotter6163/bc283974c4762d	False	0	1	2022-07-18T10:02:36.338+09:00	False
3381	hotter6163/56187364d48490	False	0	3	2022-07-15T22:55:41.342+09:00	False
3382	nbr41to/7d7a3a1525afba	False	0	39	2022-07-13T13:56:07.806+09:00	False
3383	hotter6163/86d30a1f739d57	False	0	1	2022-07-10T16:15:16.312+09:00	False
3384	crsc1206/d8166194fd58f2	False	0	45	2022-07-10T12:49:52.136+09:00	False
3385	web_tips/94b0321939dd47	False	1000	30	2022-07-09T17:58:11.110+09:00	False
3386	hotter6163/e26caa5d16ef43	False	0	2	2022-07-09T09:18:31.851+09:00	False
3387	potents/2fea390aa5fa3d	False	0	13	2022-07-08T14:32:34.254+09:00	False
3388	karaage0703/2883b0a192bc2a	False	0	6	2022-07-06T22:17:00.652+09:00	False
3389	dolphiiiin/6e490550ef1f07	False	0	4	2022-07-04T21:33:23.946+09:00	False
3390	mfunyu/ft_transcendence	False	0	16	2022-07-04T14:09:32.619+09:00	False
3391	ukwhatn/616fca55ad509e	False	0	13	2022-07-04T04:04:59.296+09:00	False
3392	chooyan/calendar-package	False	0	109	2022-07-02T13:06:00.235+09:00	False
3393	c2room_dev/c2room-users	False	0	0	2022-07-02T12:06:02.711+09:00	False
3394	c2room_dev/c2room-admin	False	0	0	2022-07-02T12:06:02.114+09:00	False
3395	hotter6163/baccd9fff4464e	False	0	2	2022-07-02T10:47:43.254+09:00	False
3396	from_f/c88ddde6c21f66	False	0	10	2022-06-30T13:50:19.516+09:00	False
3397	web_tips/d76ef4e3a9eed2	False	500	10	2022-06-29T22:08:19.034+09:00	False
3398	terrierscript/2022-06-redux	True	200	67	2022-06-29T17:12:50.067+09:00	False
3399	naohiro/66c9516f0290b5	False	0	5	2022-06-26T23:06:34.324+09:00	False
3400	web_tips/c5ad4dcc0cdcc2	False	1000	10	2022-06-25T16:07:48.189+09:00	False
3401	sakuriver/babylonjs-challenge	False	0	0	2022-06-25T13:48:08.757+09:00	False
3402	secret_soup/javascript-guidance	False	0	7	2022-06-22T15:41:19.601+09:00	False
3403	aoi_iter/gauche-solve-project-euler	False	0	1	2022-06-21T14:16:55.425+09:00	False
3404	tmitsuoka0423/handson-members-card-laravel-react-line	False	0	58	2022-06-21T00:09:20.710+09:00	False
3405	hsaki/golang-grpc-starting	False	0	1671	2022-06-19T21:00:08.232+09:00	False
3406	moriyuya/c1b13b49a56511	False	0	53	2022-06-18T12:28:11.426+09:00	False
3407	jawsug_kanazawa/aws-iot-handson-doc	False	0	8	2022-06-11T23:21:41.038+09:00	False
3408	kmy/0b8d2cd794676d	False	0	1	2022-06-10T18:06:11.107+09:00	False
3409	naok_1207/ba7243f1460b9e	False	0	30	2022-06-10T01:21:52.813+09:00	False
3410	oko3/cc44c7750413e8	False	0	1	2022-06-09T18:01:34.315+09:00	False
3411	appgrape/a4124dff469f99	False	0	2	2022-06-07T16:15:59.464+09:00	False
3412	ousttrue/b2ec4e93bdc5c4	False	0	90	2022-06-05T03:03:56.657+09:00	False
3413	kurogitsune/d6165036240279	False	0	10	2022-06-05T00:57:49.868+09:00	False
3414	miyaji26/8565db181f5ad1	False	500	1	2022-06-05T00:28:06.843+09:00	False
